video_on,num_clients,topology,total_packets,total_bytes,avg_bytes,std_bytes,median_bytes,max_bytes,total_packets_in,total_bytes_in,avg_bytes_in,std_bytes_in,median_bytes_in,max_bytes_in,total_packets_out,total_bytes_out,avg_bytes_out,std_bytes_out,median_bytes_out,max_bytes_out,avg_inter_arr,std_inter_arr,median_inter_arr,max_inter_arr
False,8,hdumb,175798,14638335,83.26792682510609,23.172635519654282,77.0,547,62596,4842520,77.36149274714039,18.838376202809687,72.0,547,113202,9795815,86.53393932969382,24.65164907529647,78.0,358,0.0031850431643218715,0.002959770545360012,0.0022649765014648438,0.033384084701538086
False,5,hdumb,159431,13916911,87.29112280547697,24.440387344802616,77.0,547,52701,4321248,81.9955598565492,21.207769941732447,75.0,547,106730,9595663,89.90595896186639,25.485610019358457,78.0,358,0.0037797774580895786,0.0030779198411149305,0.0031194686889648438,0.03445291519165039
False,5,hdumb,146990,12809354,87.14439077488265,24.620421155390066,78.0,547,52094,4231693,81.23186931316467,20.593121108444148,75.0,547,94896,8577661,90.39012181756871,26.007772268085834,79.0,358,0.003822049412113975,0.0051344880083457,0.002946138381958008,0.4470100402832031
False,5,hdumb,157282,13606254,86.50865324703399,23.975216347958323,77.0,547,52637,4283423,81.37665520451394,20.48567271461494,75.0,547,104645,9322831,89.09007597114052,25.158385354692623,78.0,358,0.0037801405499160667,0.003421689919267546,0.002643585205078125,0.03325200080871582
False,3,hdumb,71720,6354084,88.5957055214724,27.01425303064633,78.0,547,31335,2680367,85.53907770863252,24.39362918218956,77.0,547,40385,3673717,90.96736412034171,28.66083680582664,81.0,358,0.006282914276059741,0.004322963422158216,0.005528569221496582,0.03816509246826172
False,3,hdumb,68612,6207300,90.46959715501661,26.852964199760944,79.0,545,30673,2675807,87.23655984090242,23.743914137889202,77.0,545,37939,3531493,93.08344974828013,28.861695449742196,86.0,358,0.006479867731585873,0.009320863592918394,0.005802512168884277,0.6165471076965332
False,3,hdumb,69061,6228286,90.18528547226366,27.016867629425366,79.0,547,30812,2678160,86.91938205893807,24.01286380845116,77.0,547,38249,3550126,92.81617820073727,28.946551762602514,85.0,358,0.006415040671529427,0.007755124316735832,0.005861043930053711,0.5787360668182373
True,3,hdumb,209345,96965563,463.1854737395209,412.63819609852015,341.0,1214,118978,68998981,579.9305838054094,442.7583811402785,670.0,1214,90367,27966582,309.4778182301061,307.86184524374676,124.0,1214,0.001677517663406827,0.0026073035964769226,0.0012118816375732422,0.4179229736328125
True,3,hdumb,208758,97030100,464.797037718315,412.56274287260254,343.0,1214,119083,69085347,580.1444958558317,442.6737088623258,671.0,1214,89675,27944753,311.62255924170614,308.02849681742606,125.0,1214,0.0016747766666198045,0.0027058377148916047,0.0011970996856689453,0.5628640651702881
True,3,hdumb,208931,96894042,463.7609641460578,413.01758748771243,341.0,1214,118643,68928646,580.9752450629198,443.08549782727573,674.0,1214,90288,27965396,309.7354687223108,308.1910837519307,124.0,1214,0.0016584257260350529,0.0016849878433521145,0.0012040138244628906,0.03930401802062988
True,8,hdumb,938549,418034953,445.4055707267282,396.59146562242665,329.0,1214,308534,176001585,570.4446997737689,458.8105389687226,668.0,1214,630015,242033368,384.17080228248534,346.142071532972,136.0,1214,0.0006421666202616321,0.0014699761142383096,0.00014495849609375,0.05610990524291992
