video_on,num_clients,topology,vpn,vpn_topology,total_packets,total_bytes,avg_bytes,std_bytes,median_bytes,max_bytes,total_packets_in,total_bytes_in,avg_bytes_in,std_bytes_in,median_bytes_in,max_bytes_in,total_packets_out,total_bytes_out,avg_bytes_out,std_bytes_out,median_bytes_out,max_bytes_out,avg_inter_arr,std_inter_arr,median_inter_arr,max_inter_arr
True,5,tiered,ipsec,sts,430269,236373392,549.3618922116165,428.06850653972793,444.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,5,tiered,ipsec,sts,423015,234957732,555.4359348959257,428.85813862185296,464.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,5,tiered,ipsec,sts,429778,235908512,548.9078361386577,429.168285276273,444.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,8,tiered,ipsec,sts,854223,416220336,487.2502098398193,427.6174368342831,184.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,8,tiered,ipsec,sts,884546,418218876,472.8062486292403,424.13142178166044,180.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,8,tiered,ipsec,sts,910411,432801056,475.39084655172223,422.92042869279965,180.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
False,5,tiered,ipsec,sts,154895,36530944,235.8432744762581,329.81875224686814,140.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
False,5,tiered,ipsec,sts,161456,37443500,231.91148052720246,324.6261654442998,140.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
False,5,tiered,ipsec,sts,140053,34546776,246.66930376357521,346.67880118615597,140.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
False,3,tiered,ipsec,ptp,9869,1069405,108.3600162123822,96.07441942544592,88.0,1480,1157,62059,53.63785652549697,38.1412787798028,28.0,547,1355,93500,69.00369003690037,32.4194374918717,52.0,357,0.16849073447983157,0.21631076715634376,0.06177663803100586,1.0858519077301025
False,3,tiered,ipsec,ptp,9906,1051884,106.18655360387643,90.59592223487259,88.0,1480,1056,61944,58.65909090909091,41.371181589268176,56.0,547,1458,100106,68.65980795610425,32.14149466506195,52.0,357,0.18504220185121653,0.22824788857904182,0.0783090591430664,1.2742149829864502
False,3,tiered,ipsec,ptp,9818,1069504,108.93298024037482,92.8210699896442,88.0,1480,1127,63777,56.590062111801245,38.37853215842902,56.0,546,1361,93265,68.5268185157972,31.619117345507146,52.0,357,0.17280747348419515,0.2108333444187697,0.10408198833465576,1.1738841533660889
False,8,tiered,ipsec,ptp,291717,25088370,86.0024270097389,30.263820433336907,77.0,1480,71269,5638119,79.11039863054063,20.40250299926998,75.0,548,197343,16959241,85.93788986688152,22.039306338629693,78.0,357,0.0026065485508358827,0.002284450335193775,0.002012014389038086,0.024339914321899414
False,8,tiered,ipsec,ptp,264472,23179660,87.64504370973108,32.32135099049097,78.0,1480,70633,5584591,79.06489884331687,19.073644653600365,73.0,546,170311,15040983,88.31480644233197,24.056821967608787,78.0,357,0.002615087720785855,0.0024452799893637765,0.001969456672668457,0.022003889083862305
False,8,tiered,ipsec,ptp,240191,21126618,87.95757542955398,37.51141812061127,78.0,1480,71185,5600130,78.67008498981527,24.775511242387527,72.0,547,145880,12819722,87.87854400877434,24.406009827744825,78.0,357,0.0026042565760330608,0.002220183625292391,0.0021240711212158203,0.03438401222229004
True,3,tiered,ipsec,ptp,10389,1177523,113.34324766580036,99.00185137047123,88.0,1480,2279,140092,61.47082053532251,62.81553819829974,56.0,545,441,54085,122.64172335600907,66.86661404158977,104.0,357,0.08495113219578503,0.09383520193553788,0.053931474685668945,0.7816500663757324
True,3,tiered,ipsec,ptp,11382,1292615,113.56659638024952,119.59351864599601,88.0,1480,2491,233271,93.64552388598956,180.43362316517002,56.0,1161,1490,159350,106.94630872483222,65.39141695063103,100.0,1161,0.07824807463879566,0.09204805008967655,0.04600811004638672,0.6040070056915283
True,3,tiered,ipsec,ptp,11265,1289411,114.46169551708833,111.07069537727895,88.0,1480,2360,195363,82.78093220338982,154.0491789341569,56.0,1204,1351,142578,105.53515914137675,55.907344511490685,100.0,1197,0.08301772440626946,0.08841087435163111,0.056034088134765625,0.6015369892120361
True,5,tiered,ipsec,ptp,279726,140932724,503.8241850954148,439.4307900068999,479.0,1480,146476,88915037,607.0280250689533,470.99895354559453,834.0,1214,119267,50417841,422.7308559786026,376.9929441376102,133.0,1214,0.0013085026862292104,0.0013500944162883164,0.0009131431579589844,0.03448891639709473
True,5,tiered,ipsec,ptp,269905,140474232,520.4580574646635,440.4681125997001,561.0,1480,147125,89375994,607.4833916737468,470.3126999593972,835.0,1214,109041,49536092,454.28868040461845,381.1687865332143,496.0,1214,0.001306740531284584,0.0013678962959590719,0.0009050369262695312,0.06643795967102051
True,5,tiered,ipsec,ptp,278575,141417487,507.6460091537288,439.68995357492867,504.0,1480,146877,89441139,608.9526542617292,469.82377208141173,837.0,1214,117891,50393778,427.4607730870041,378.9376846484989,135.0,1214,0.001306084648106248,0.0013900391211029497,0.0008999109268188477,0.024151086807250977
True,8,tiered,ipsec,ptp,678502,324204052,477.82328128730643,420.58979007814474,397.0,1480,252824,150854210,596.6767791032497,470.8332358437625,796.0,1214,402014,170735060,424.6992890794848,372.94335337194804,134.0,1214,0.0007334170867681163,0.0007859426803043577,0.0005028247833251953,0.020639896392822266
True,8,tiered,ipsec,ptp,711908,320304358,449.92380757064115,416.00339441580786,126.0,1480,248088,144778522,583.5772870916771,467.223481975262,737.0,1214,441278,172917934,391.8571376773825,370.04163579762354,122.0,1214,0.0007515062094133568,0.0008294616392906004,0.0005059242248535156,0.022909164428710938
True,8,tiered,ipsec,ptp,658460,321599549,488.41167117212893,422.07543522929103,488.0,1480,252469,150677473,596.8157397541877,470.371919558164,797.0,1214,382582,168349742,440.03570999158353,375.9800943854453,435.0,1214,0.0007351688297101956,0.0008154028519706012,0.0004990100860595703,0.05680990219116211
False,5,tiered,ipsec,ptp,95672,8378868,87.57910360398027,41.56441184238029,78.0,1480,41349,3141965,75.986480930615,24.42241935512917,72.0,547,40467,3724489,92.0376850273062,31.012425916398733,87.0,357,0.0046233742105853595,0.0037936413171614954,0.0037679672241210938,0.021134138107299805
False,5,tiered,ipsec,ptp,96339,8442661,87.63492458921101,40.51630278937184,77.0,1480,41368,3260995,78.82892573970219,18.959498258466,72.0,548,41054,3617444,88.11428849807571,29.111573895010473,79.0,357,0.0046258046028966595,0.00328987678293269,0.004179954528808594,0.019294023513793945
False,5,tiered,ipsec,ptp,99292,8903860,89.67348829714378,42.30724973180373,79.0,1480,41251,3217918,78.00824222443093,24.694045017712607,72.0,547,44139,4122248,93.3924194023426,30.644570749550656,92.0,357,0.004632663177721428,0.0043176278925463035,0.0032520294189453125,0.022873878479003906
False,3,tiered,wireguard,ptp,9133,6620560,724.9052885141793,662.7071323132511,176.0,1452,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
False,3,tiered,wireguard,ptp,9085,6614248,728.0405063291139,663.1366069834633,176.0,1452,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
False,3,tiered,wireguard,ptp,9238,6678112,722.8958649058238,662.2378640740855,176.0,1452,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
False,8,tiered,wireguard,ptp,242631,54905296,226.2913477667734,309.2646578273624,144.0,1452,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
False,8,tiered,wireguard,ptp,291629,62684876,214.94733376996115,282.2681378006901,144.0,1452,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
