video_on,num_clients,topology,total_packets,total_bytes,avg_bytes,std_bytes,median_bytes,max_bytes,total_packets_in,total_bytes_in,avg_bytes_in,std_bytes_in,median_bytes_in,max_bytes_in,total_packets_out,total_bytes_out,avg_bytes_out,std_bytes_out,median_bytes_out,max_bytes_out,avg_inter_arr,std_inter_arr,median_inter_arr,max_inter_arr
False,5,hdumb,146990,13985274,95.14439077488265,24.620421155390066,86.0,555,52094,4648445,89.23186931316467,20.593121108444148,83.0,555,94896,9336829,98.39012181756871,26.007772268085834,87.0,366,0.003822049412113975,0.0051344880083457,0.002946138381958008,0.4470100402832031
False,5,hdumb,157282,14864510,94.50865324703399,23.975216347958323,85.0,555,52637,4704519,89.37665520451394,20.48567271461494,83.0,555,104645,10159991,97.09007597114052,25.158385354692623,86.0,366,0.0037801405499160667,0.003421689919267546,0.002643585205078125,0.03325200080871582
False,3,hdumb,71720,6927844,96.5957055214724,27.01425303064633,86.0,555,31335,2931047,93.53907770863252,24.39362918218956,85.0,555,40385,3996797,98.96736412034171,28.66083680582664,89.0,366,0.006282914276059741,0.004322963422158216,0.005528569221496582,0.03816509246826172
False,3,hdumb,68612,6756196,98.46959715501661,26.852964199760944,87.0,553,30673,2921191,95.23655984090242,23.743914137889202,85.0,553,37939,3835005,101.08344974828013,28.861695449742196,94.0,366,0.006479867731585873,0.009320863592918394,0.005802512168884277,0.6165471076965332
False,3,hdumb,69061,6780774,98.18528547226366,27.016867629425366,87.0,555,30812,2924656,94.91938205893807,24.01286380845116,85.0,555,38249,3856118,100.81617820073727,28.946551762602514,93.0,366,0.006415040671529427,0.007755124316735832,0.005861043930053711,0.5787360668182373
True,3,hdumb,209345,98640323,471.1854737395209,412.63819609852015,349.0,1222,118978,69950805,587.9305838054094,442.7583811402785,678.0,1222,90367,28689518,317.4778182301061,307.86184524374676,132.0,1222,0.001677517663406827,0.0026073035964769226,0.0012118816375732422,0.4179229736328125
True,3,hdumb,208758,98700164,472.797037718315,412.56274287260254,351.0,1222,119083,70038011,588.1444958558317,442.6737088623258,679.0,1222,89675,28662153,319.62255924170614,308.02849681742606,133.0,1222,0.0016747766666198045,0.0027058377148916047,0.0011970996856689453,0.5628640651702881
True,3,hdumb,208931,98565490,471.7609641460578,413.01758748771243,349.0,1222,118643,69877790,588.9752450629198,443.08549782727573,682.0,1222,90288,28687700,317.7354687223108,308.1910837519307,132.0,1222,0.0016584257260350529,0.0016849878433521145,0.0012040138244628906,0.03930401802062988
True,8,hdumb,938549,425543345,453.4055707267282,396.59146562242665,337.0,1222,308534,178469857,578.4446997737689,458.8105389687226,676.0,1222,630015,247073488,392.17080228248534,346.142071532972,144.0,1222,0.0006421666202616321,0.0014699761142383096,0.00014495849609375,0.05610990524291992
True,8,hdumb,915037,416640224,455.3260950103657,394.2404262932341,354.0,1222,303693,172399207,567.6759326029905,456.16309053619716,652.0,1222,611344,244241017,399.51486724331966,346.2388764360792,288.0,1222,0.0006520066676686176,0.0016233468505628683,0.0001418590545654297,0.06569194793701172
True,8,hdumb,947895,425871676,449.2814879285153,397.1893339016017,326.0,1222,308481,178761740,579.4902765486368,458.83155898841994,682.0,1222,639414,247109936,386.4631303036843,346.66538309084706,137.0,1222,0.0006389896041439282,0.0015611948721545455,0.00014495849609375,0.042244911193847656
True,5,hdumb,455441,208918128,458.71611910214494,404.9698345469884,328.0,1222,196305,115779688,589.7949007921347,453.902760357967,698.0,1222,259136,93138440,359.4191467028896,330.58801111741974,134.0,1222,0.001009995654457326,0.0019266018375434977,0.00015211105346679688,0.03266000747680664
